normalization,standardization,image_type,channel_image,image_resize_x,image_resize_y,Image_path,mean_stat,std_stat,skewness_stat,kurtosis_stat,entropy_stat,gini_coefficient
False,False,DARTER,GRAY,1536,512,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/BOULDERxSANDxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,692.412353515625,76.37987518310547,1.037919044494629,0.9086653781255407,13.569366455078125,0.05920890395403345
False,False,DARTER,GRAY,1536,512,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/PLANTSxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,735.566650390625,55.306636810302734,1.4585967063903809,2.0446576972271986,13.572528839111328,0.03895566743906483
False,False,DARTER,GRAY,1536,512,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/GRAVELxFISH04_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,734.858642578125,56.67927551269531,1.0535471439361572,1.015145874861652,13.572360038757324,0.04154661621710604
False,False,DARTER,GRAY,1536,512,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/DETRITUSxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,742.0358276367188,66.42613220214844,1.0033729076385498,-0.12114805853972355,13.571362495422363,0.04803470341811576
False,False,DARTER,GRAY,1536,512,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/BOULDERxSANDxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,701.3538208007812,79.63450622558594,0.563035249710083,-0.038519080767757785,13.5689115524292,0.06321969207370806
False,False,DARTER,GRAY,1536,512,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/BOULDERxSANDxFISH04_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,702.57470703125,80.28340911865234,0.6042246222496033,-0.021991381384572684,13.568845748901367,0.06370160975620384
False,False,DARTER,GRAY,1536,512,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/SANDxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,735.38525390625,53.56791687011719,1.3332489728927612,1.4406830112081215,13.572681427001953,0.0381986456449844
False,False,DARTER,GRAY,1536,512,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/SANDxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,735.0691528320312,54.02534484863281,1.279203176498413,1.1808342933658524,13.572637557983398,0.03877804661189871
False,False,DARTER,GRAY,1536,512,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/PLANTSxFISH04_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,743.11474609375,52.73689270019531,1.0328339338302612,0.7323399610225247,13.57280158996582,0.03836792577504415
False,False,DARTER,GRAY,1536,512,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/PlantsxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,741.7848510742188,56.85710525512695,1.3429324626922607,1.6462623116946444,13.572415351867676,0.04013236858570043
False,False,DARTER,GRAY,1536,512,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/SANDxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,739.7660522460938,56.51314163208008,1.2083097696304321,0.8978090634202571,13.57242202758789,0.04058939738778325
False,False,DARTER,GRAY,1536,512,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/GRAVELxFISH03_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,733.6166381835938,57.8531608581543,1.1467331647872925,1.1623987592838043,13.572232246398926,0.042008356632501916
False,False,DARTER,GRAY,1536,512,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/DETRITUSxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,752.2827758789062,59.82007598876953,0.8554685115814209,0.2341170471398084,13.572166442871094,0.0438094372936917
False,False,DARTER,GRAY,1536,512,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/PLANTSxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,741.1400756835938,57.025691986083984,1.2185841798782349,0.9652609789384776,13.572385787963867,0.040736110985558405
False,False,DARTER,GRAY,1536,512,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/DETRITUSxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,745.3544311523438,55.32276916503906,0.8237741589546204,0.19316017754508508,13.57255744934082,0.04099242691661757
