normalization,standardization,image_type,channel_image,image_resize_x,image_resize_y,Image_path,GLCM_angle,GLCM_dist,GLCM_mean,GLCM_variance,GLCM_correlation,GLCM_contrast,GLCM_dissimilarity,GLCM_homogeneity,GLCM_ASM,GLCM_energy,GLCM_max_proba,GLCM_entropy
False,False,DARTER,GRAY,1536.0,512.0,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/BOULDERxSANDxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,0.0,4.0,11.90625,389.5041198730469,0.46685537395693383,3065.238777220722,33.098372652148946,0.045383253105945154,5.718466359502845e-05,0.0075620541914898,141.0,10.155742471191026
False,False,DARTER,GRAY,1536.0,512.0,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/BOULDERxSANDxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,45.0,2.0,11.960968017578125,640.4104332909444,0.6543715273595223,1995.1918918091433,22.47856798414031,0.0692662376605838,8.356273752519346e-05,0.00914126564132087,188.0,9.77846438373167
False,False,DARTER,GRAY,1536.0,512.0,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/BOULDERxSANDxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,45.0,4.0,11.929779052734375,519.258313646981,0.5726537945838184,2461.5300282670137,26.93416983231649,0.05757418448033425,7.093103311264495e-05,0.008422056347035738,153.0,9.946615834885831
False,False,DARTER,GRAY,1536.0,512.0,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/BOULDERxSANDxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,135.0,2.0,11.953125,521.2592468261719,0.5748350534067154,2452.0988408905223,26.883499285130707,0.05819918936128473,7.092746850482694e-05,0.008421844721011361,156.0,9.944886519257526
False,False,DARTER,GRAY,1536.0,512.0,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/BOULDERxSANDxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,90.0,4.0,11.9219970703125,498.74220655858517,0.5682289539412841,2486.002378026928,27.480491987917887,0.055641294792784735,6.880123048474985e-05,0.008294650715054242,159.0,9.970958945814546
False,False,DARTER,GRAY,1536.0,512.0,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/BOULDERxSANDxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,135.0,4.0,11.90625,389.5041198730469,0.466855373956934,3065.2387772207157,33.09837265214893,0.04538325310594515,5.71846635950284e-05,0.007562054191489797,141.0,10.155742471191067
False,False,DARTER,GRAY,1536.0,512.0,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/PLANTSxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,0.0,4.0,11.90625,690.457275390625,0.36466502203596723,5374.7058983349725,41.149683193897644,0.04551303122022854,8.957899165120157e-05,0.009464617881943336,224.0,9.84735361043029
False,False,DARTER,GRAY,1536.0,512.0,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/PLANTSxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,45.0,2.0,11.960968017578125,1196.833254336062,0.6223185637775256,3200.8195130850113,24.879198697749885,0.07793837797453249,0.00014290885950634806,0.011954449360231866,339.0,9.365887965603092
False,False,DARTER,GRAY,1536.0,512.0,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/PLANTSxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,45.0,4.0,11.929779052734375,968.614392748727,0.5212441368357635,4053.907234309246,30.90846475576532,0.06366058879980352,0.00011910871393865189,0.010913693872317103,299.0,9.561169878159465
False,False,DARTER,GRAY,1536.0,512.0,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/PLANTSxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,135.0,2.0,11.953125,951.936767578125,0.5140882642705518,4116.337690206291,31.3965469260621,0.06220456713534142,0.00011692233380791043,0.010813063109401999,284.0,9.578261123146682
