,normalization,standardization,image_type,channel_image,image_resize_x,image_resize_y,Image_path,GLCM_angle,GLCM_dist,GLCM_mean,GLCM_variance,GLCM_correlation,GLCM_contrast,GLCM_dissimilarity,GLCM_homogeneity,GLCM_ASM,GLCM_energy,GLCM_max_proba,GLCM_entropy
0,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/PLANTS_cropped_3000x1000_middle_tt_resized_div1_5_52A5711defWB.jpg,0.0,2.0,45.745849609375,93447.9236887731,0.8858732175375912,1727.3152648432297,9.966637091394269,0.3354645744036084,0.0006966340006079213,0.026393825046929466,8029.0,7.925652624033929
1,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/PLANTS_cropped_3000x1000_middle_tt_resized_div1_5_52A5711defWB.jpg,45.0,2.0,45.669586181640625,75672.27818630991,0.8837984113680436,1756.8792743873878,10.448637855905208,0.29029141679515735,0.0005688672584308155,0.02385093831342523,6134.0,8.070661949679852
2,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/PLANTS_cropped_3000x1000_middle_tt_resized_div1_5_52A5711defWB.jpg,90.0,2.0,45.669586181640625,60945.15642119751,0.8479346019588472,2299.1088298637956,13.392242972106258,0.25155005038604766,0.0004611255657792096,0.021473834445184904,5435.0,8.283511727802987
3,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/PLANTS_cropped_3000x1000_middle_tt_resized_div1_5_52A5711defWB.jpg,135.0,2.0,45.745849609375,93447.9236887731,0.8858732175375917,1727.315264843229,9.966637091394267,0.3354645744036084,0.0006966340006079213,0.026393825046929466,8029.0,7.925652624033894
4,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/PLANTS_cropped_3000x1000_middle_tt_resized_div1_5_52A5711defWB.jpg,0.0,4.0,45.71533203125,46362.36387989194,0.7973583263610582,3067.1715223631495,17.669747329773028,0.2174331807460722,0.0003537612916465388,0.018808543049543706,5010.0,8.552571924343988
5,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/PLANTS_cropped_3000x1000_middle_tt_resized_div1_5_52A5711defWB.jpg,45.0,4.0,45.608612060546875,49789.70197904345,0.8379302640209624,2449.2195499105715,14.551539876467292,0.2183565574608995,0.00038048831850735987,0.019506109773795487,4214.0,8.435084625877026
6,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/PLANTS_cropped_3000x1000_middle_tt_resized_div1_5_52A5711defWB.jpg,90.0,4.0,45.5628662109375,31244.3718107835,0.7331615381306102,4030.478857725766,23.413494203632418,0.15568600260369725,0.00024491055749980493,0.01564961844582177,3254.0,8.880506548163128
7,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/PLANTS_cropped_3000x1000_middle_tt_resized_div1_5_52A5711defWB.jpg,135.0,4.0,45.71533203125,46362.36387989194,0.797358326361059,3067.1715223631504,17.669747329773035,0.21743318074607226,0.000353761291646539,0.01880854304954371,5010.0,8.552571924343908
8,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/DETRITUS_cropped_3000x1000_middle_tt_resized_div1_5_52A7724defWB.jpg,0.0,2.0,45.745849609375,27926.25062359197,0.8316829586703817,2888.0164132755162,17.411585390260175,0.15566629136096607,0.00021888294865022307,0.014794693259754427,1812.0,8.720719328773027
9,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/DETRITUS_cropped_3000x1000_middle_tt_resized_div1_5_52A7724defWB.jpg,45.0,2.0,45.669586181640625,23970.13252593376,0.8087230021008164,3281.607369791266,19.746160877941275,0.1365470021902091,0.00019062113702246827,0.01380656137575422,1552.0,8.847560105391379
10,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/DETRITUS_cropped_3000x1000_middle_tt_resized_div1_5_52A7724defWB.jpg,90.0,2.0,45.669586181640625,25140.4778933654,0.8194435202841643,3097.6737028575308,18.715188295898216,0.1409682297119442,0.0001991832303415141,0.014113228912673177,1601.0,8.797521070326935
11,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/DETRITUS_cropped_3000x1000_middle_tt_resized_div1_5_52A7724defWB.jpg,135.0,2.0,45.745849609375,27926.25062359197,0.8316829586703811,2888.0164132755185,17.411585390260186,0.15566629136096596,0.00021888294865022307,0.014794693259754427,1812.0,8.720719328773034
12,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/DETRITUS_cropped_3000x1000_middle_tt_resized_div1_5_52A7724defWB.jpg,0.0,4.0,45.71533203125,20646.986896276474,0.777881003026905,3811.4417072763695,22.81218925233645,0.12204864879444137,0.00016600728742016498,0.012884381530370985,1274.0,8.994460823544763
