image_list,Image_path,filename,type,folder,habitat,color_control,tv_loss,layers,sex,fish_n,species,img_width,img_height,image_extension
115,/home/durrmeyer/Images/StyleTransferImages/Layers_3to5/BOULDERxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,BOULDERxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,fish stylized,Layers_3to5,BOULDER,ON,ON,Layers_3to5,,01,,512,170,.png
116,/home/durrmeyer/Images/StyleTransferImages/Layers_3to5/DETRITUSxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,DETRITUSxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,fish stylized,Layers_3to5,DETRITUS,ON,ON,Layers_3to5,,01,,512,170,.png
117,/home/durrmeyer/Images/StyleTransferImages/Layers_3to5/SANDxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,SANDxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,fish stylized,Layers_3to5,SAND,ON,ON,Layers_3to5,,03,,512,170,.png
118,/home/durrmeyer/Images/StyleTransferImages/Layers_3to5/GRAVELxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,GRAVELxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,fish stylized,Layers_3to5,GRAVEL,ON,ON,Layers_3to5,,03,,512,170,.png
119,/home/durrmeyer/Images/StyleTransferImages/Layers_3to5/BOULDERxSANDxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers3to5.png,BOULDERxSANDxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers3to5.png,fish stylized,Layers_3to5,BOULDERxSAND,OFF,ON,Layers_3to5,,01,,512,170,.png
120,/home/durrmeyer/Images/StyleTransferImages/Layers_3to5/SANDxFISH02_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers3to5.png,SANDxFISH02_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers3to5.png,fish stylized,Layers_3to5,SAND,OFF,ON,Layers_3to5,,02,,512,170,.png
121,/home/durrmeyer/Images/StyleTransferImages/Layers_3to5/PLANTSxFISH03_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers3to5.png,PLANTSxFISH03_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers3to5.png,fish stylized,Layers_3to5,PLANTS,OFF,ON,Layers_3to5,,03,,512,170,.png
122,/home/durrmeyer/Images/StyleTransferImages/Layers_3to5/SANDxFISH04_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,SANDxFISH04_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,fish stylized,Layers_3to5,SAND,ON,ON,Layers_3to5,,04,,512,170,.png
123,/home/durrmeyer/Images/StyleTransferImages/Layers_3to5/PLANTSxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,PLANTSxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,fish stylized,Layers_3to5,PLANTS,ON,ON,Layers_3to5,,10,,512,170,.png
124,/home/durrmeyer/Images/StyleTransferImages/Layers_3to5/BOULDERxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,BOULDERxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,fish stylized,Layers_3to5,BOULDER,ON,ON,Layers_3to5,,10,,512,170,.png
125,/home/durrmeyer/Images/StyleTransferImages/Layers_3to5/GRAVELxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,GRAVELxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,fish stylized,Layers_3to5,GRAVEL,ON,ON,Layers_3to5,,10,,512,170,.png
126,/home/durrmeyer/Images/StyleTransferImages/Layers_3to5/SANDxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,SANDxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,fish stylized,Layers_3to5,SAND,ON,ON,Layers_3to5,,10,,512,170,.png
127,/home/durrmeyer/Images/StyleTransferImages/Layers_3to5/PLANTSxFISH04_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,PLANTSxFISH04_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,fish stylized,Layers_3to5,PLANTS,ON,ON,Layers_3to5,,04,,512,170,.png
128,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/GRAVELxFISH04_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,GRAVELxFISH04_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,GRAVEL,ON,ON,Layers_1and2,,04,,512,170,.png
129,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/PLANTSxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,PLANTSxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,PLANTS,ON,ON,Layers_1and2,,03,,512,170,.png
130,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/GRAVELxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,GRAVELxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,GRAVEL,OFF,ON,Layers_1and2,,01,,512,170,.png
131,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/BOULDERxSANDxFISH03_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,BOULDERxSANDxFISH03_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,BOULDERxSAND,OFF,ON,Layers_1and2,,03,,512,170,.png
132,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/PLANTSxFISH03_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,PLANTSxFISH03_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,PLANTS,OFF,ON,Layers_1and2,,03,,512,170,.png
133,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/GRAVELxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,GRAVELxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,GRAVEL,ON,ON,Layers_1and2,,02,,512,170,.png
134,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/BOULDERxFISH02_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,BOULDERxFISH02_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,BOULDER,OFF,ON,Layers_1and2,,02,,512,170,.png
135,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/DETRITUSxFISH03_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,DETRITUSxFISH03_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,DETRITUS,OFF,ON,Layers_1and2,,03,,512,170,.png
136,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/GRAVELxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,GRAVELxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,GRAVEL,ON,ON,Layers_1and2,,10,,512,170,.png
137,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/PlantsxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,PlantsxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,Plants,ON,ON,Layers_1and2,,10,,512,170,.png
138,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/SANDxFISH04_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,SANDxFISH04_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,SAND,OFF,ON,Layers_1and2,,04,,512,170,.png
139,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/SANDxFISH03_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,SANDxFISH03_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,SAND,OFF,ON,Layers_1and2,,03,,512,170,.png
140,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/BOULDERxSANDxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,BOULDERxSANDxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,BOULDERxSAND,OFF,ON,Layers_1and2,,01,,512,170,.png
141,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/SANDxFISH04_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,SANDxFISH04_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,SAND,ON,ON,Layers_1and2,,04,,512,170,.png
142,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/SANDxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,SANDxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,SAND,ON,ON,Layers_1and2,,03,,512,170,.png
143,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/GRAVELxFISH02_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,GRAVELxFISH02_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,GRAVEL,OFF,ON,Layers_1and2,,02,,512,170,.png
144,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/DETRITUSxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,DETRITUSxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,DETRITUS,ON,ON,Layers_1and2,,01,,512,170,.png
145,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/BOULDERxSANDxFISH04_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,BOULDERxSANDxFISH04_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,BOULDERxSAND,OFF,ON,Layers_1and2,,04,,512,170,.png
146,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/BOULDERxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,BOULDERxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,BOULDER,ON,ON,Layers_1and2,,01,,512,170,.png
147,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/DETRITUSxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,DETRITUSxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,DETRITUS,ON,ON,Layers_1and2,,03,,512,170,.png
148,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/BOULDERxSANDxFISH04_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,BOULDERxSANDxFISH04_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,BOULDERxSAND,ON,ON,Layers_1and2,,04,,512,170,.png
149,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/BOULDERxSANDxFISH02_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,BOULDERxSANDxFISH02_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,BOULDERxSAND,OFF,ON,Layers_1and2,,02,,512,170,.png
150,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/GRAVELxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,GRAVELxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,GRAVEL,ON,ON,Layers_1and2,,03,,512,170,.png
151,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/GRAVELxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,GRAVELxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,GRAVEL,OFF,ON,Layers_1and2,,10,,512,170,.png
152,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/PLANTSxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,PLANTSxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,PLANTS,ON,ON,Layers_1and2,,02,,512,170,.png
153,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/DETRITUSxFISH02_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,DETRITUSxFISH02_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,DETRITUS,OFF,ON,Layers_1and2,,02,,512,170,.png
154,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/BOULDERxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,BOULDERxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,BOULDER,OFF,ON,Layers_1and2,,10,,512,170,.png
155,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/SANDxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,SANDxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,SAND,ON,ON,Layers_1and2,,01,,512,170,.png
156,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/BOULDERxSANDxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,BOULDERxSANDxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,BOULDERxSAND,ON,ON,Layers_1and2,,10,,512,170,.png
157,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/DETRITUSxFISH04_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,DETRITUSxFISH04_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,DETRITUS,OFF,ON,Layers_1and2,,04,,512,170,.png
158,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/SANDxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,SANDxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,SAND,ON,ON,Layers_1and2,,02,,512,170,.png
159,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/PLANTSxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,PLANTSxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,PLANTS,OFF,ON,Layers_1and2,,01,,512,170,.png
160,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/BOULDERxFISH04_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,BOULDERxFISH04_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,BOULDER,ON,ON,Layers_1and2,,04,,512,170,.png
161,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/SANDxFISH02_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,SANDxFISH02_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,SAND,OFF,ON,Layers_1and2,,02,,512,170,.png
162,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/PLANTSxFISH02_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,PLANTSxFISH02_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,PLANTS,OFF,ON,Layers_1and2,,02,,512,170,.png
163,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/BOULDERxFISH04_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,BOULDERxFISH04_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,BOULDER,OFF,ON,Layers_1and2,,04,,512,170,.png
164,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/BOULDERxSANDxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,BOULDERxSANDxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,BOULDERxSAND,ON,ON,Layers_1and2,,01,,512,170,.png
165,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/GRAVELxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,GRAVELxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,GRAVEL,ON,ON,Layers_1and2,,01,,512,170,.png
166,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/BOULDERxSANDxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,BOULDERxSANDxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,BOULDERxSAND,ON,ON,Layers_1and2,,03,,512,170,.png
167,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/SANDxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,SANDxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,SAND,OFF,ON,Layers_1and2,,01,,512,170,.png
168,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/SANDxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,SANDxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,SAND,OFF,ON,Layers_1and2,,10,,512,170,.png
169,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/BOULDERxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,BOULDERxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,BOULDER,ON,ON,Layers_1and2,,02,,512,170,.png
170,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/BOULDERxSANDxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,BOULDERxSANDxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,BOULDERxSAND,ON,ON,Layers_1and2,,02,,512,170,.png
171,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/BOULDERxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,BOULDERxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,BOULDER,ON,ON,Layers_1and2,,03,,512,170,.png
172,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/PlantsxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,PlantsxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,Plants,OFF,ON,Layers_1and2,,10,,512,170,.png
173,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/PLANTSxFISH04_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,PLANTSxFISH04_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,PLANTS,ON,ON,Layers_1and2,,04,,512,170,.png
174,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/PLANTSxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,PLANTSxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,PLANTS,ON,ON,Layers_1and2,,01,,512,170,.png
175,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/GRAVELxFISH03_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,GRAVELxFISH03_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,GRAVEL,OFF,ON,Layers_1and2,,03,,512,170,.png
176,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/DETRITUSxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,DETRITUSxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,DETRITUS,OFF,ON,Layers_1and2,,01,,512,170,.png
177,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/DETRITUSxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,DETRITUSxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,DETRITUS,ON,ON,Layers_1and2,,10,,512,170,.png
178,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/PLANTSxFISH04_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,PLANTSxFISH04_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,PLANTS,OFF,ON,Layers_1and2,,04,,512,170,.png
179,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/GRAVELxFISH04_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,GRAVELxFISH04_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,GRAVEL,OFF,ON,Layers_1and2,,04,,512,170,.png
180,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/DETRITUSxFISH04_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,DETRITUSxFISH04_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,DETRITUS,ON,ON,Layers_1and2,,04,,512,170,.png
181,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/DETRITUSxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,DETRITUSxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,DETRITUS,OFF,ON,Layers_1and2,,10,,512,170,.png
182,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/BOULDERxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,BOULDERxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,BOULDER,ON,ON,Layers_1and2,,10,,512,170,.png
183,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/BOULDERxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,BOULDERxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,BOULDER,OFF,ON,Layers_1and2,,01,,512,170,.png
184,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/BOULDERxFISH03_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,BOULDERxFISH03_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,BOULDER,OFF,ON,Layers_1and2,,03,,512,170,.png
185,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/DETRITUSxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,DETRITUSxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,DETRITUS,ON,ON,Layers_1and2,,02,,512,170,.png
186,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/SANDxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,SANDxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,SAND,ON,ON,Layers_1and2,,10,,512,170,.png
187,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/BOULDERxSANDxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,BOULDERxSANDxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,fish stylized,Layers_1and2,BOULDERxSAND,OFF,ON,Layers_1and2,,10,,512,170,.png
188,/home/durrmeyer/Images/StyleTransferImages/FISH_images/FISH04_cropped_3000x1000_CAER_REDR_M04.jpg,FISH04_cropped_3000x1000_CAER_REDR_M04.jpg,original fish,FISH_images,,,,,M,04,CAER,3000,1000,.jpg
189,/home/durrmeyer/Images/StyleTransferImages/FISH_images/FISH10_cropped_3000x1000_CAER_REDR_M10.jpg,FISH10_cropped_3000x1000_CAER_REDR_M10.jpg,original fish,FISH_images,,,,,M,10,CAER,3000,1000,.jpg
190,/home/durrmeyer/Images/StyleTransferImages/FISH_images/FISH09_cropped_3000x1000_CAER_REDR_M09.jpg,FISH09_cropped_3000x1000_CAER_REDR_M09.jpg,original fish,FISH_images,,,,,M,09,CAER,3000,1000,.jpg
191,/home/durrmeyer/Images/StyleTransferImages/FISH_images/FISH08_cropped_3000x1000_CAER_REDR_M08.jpg,FISH08_cropped_3000x1000_CAER_REDR_M08.jpg,original fish,FISH_images,,,,,M,08,CAER,3000,1000,.jpg
192,/home/durrmeyer/Images/StyleTransferImages/FISH_images/FISH02_cropped_3000x1000_CAER_REDR_M02.jpg,FISH02_cropped_3000x1000_CAER_REDR_M02.jpg,original fish,FISH_images,,,,,M,02,CAER,3000,1000,.jpg
193,/home/durrmeyer/Images/StyleTransferImages/FISH_images/FISH03_cropped_3000x1000_CAER_REDR_M03.jpg,FISH03_cropped_3000x1000_CAER_REDR_M03.jpg,original fish,FISH_images,,,,,M,03,CAER,3000,1000,.jpg
194,/home/durrmeyer/Images/StyleTransferImages/FISH_images/FISH01_cropped_3000x1000_CAER_REDR_M01.jpg,FISH01_cropped_3000x1000_CAER_REDR_M01.jpg,original fish,FISH_images,,,,,M,01,CAER,3000,1000,.jpg
195,/home/durrmeyer/Images/StyleTransferImages/FISH_images/FISH07_cropped_3000x1000_CAER_REDR_M07.jpg,FISH07_cropped_3000x1000_CAER_REDR_M07.jpg,original fish,FISH_images,,,,,M,07,CAER,3000,1000,.jpg
196,/home/durrmeyer/Images/StyleTransferImages/FISH_images/FISH06_cropped_3000x1000_CAER_REDR_M06.jpg,FISH06_cropped_3000x1000_CAER_REDR_M06.jpg,original fish,FISH_images,,,,,M,06,CAER,3000,1000,.jpg
